Page,Date,Post Text,Media Type,Likes,Comments,Shares,Media Link
3Dadept,2024-03-11,"[🗣 The January/February edition of hashtag#3DADEPTMag is out!! 🚨🚨] – 📌 LINK in the FIRST comment! 📌 We kick-off hashtag#volume 7 of hashtag#3DADEPTMag with a focus on hashtag#Aerospace and hashtag#Space, two vertical industries driving the growth of hashtag#AdditiveManufacturing (AM) technologies. Today, aerospace companies using AM have clearly understood the value proposition AM can bring to their production activities. The challenge now consists in going beyond their current use of the technology. This January/February edition of hashtag#3DADEPT Mag provides a picture of how AM transforms aircraft design and production. With stories from AM users and insights into related processes, it provides an avenue to explore the various possibilities currently available on the market.✨ Exclusive features ✨✔️ DOSSIER | How does AM transform aircraft design and production today? With contributions from GKN Aerospace’s Sébastien Aknouche & Materialise’s Erik de Zeeuw.✔️ Business | The “fall and rise” of desktop 3D printingAs the industry strives for the hashtag#industrialization of AM, it’s fair to reassess the importance and current place of desktop 3D printing in this journey. CONTEXT’ Chris Connery and Mosaic Manufacturing’s Mitch Debora share insights here.✔️ Post-processing | The use of HIP for critical 3D printed parts: introduction and applicationsWith key insights from Aalberts surface technologies’ Gregory Lane✔️ Materials | Using composites to replace hashtag#metal parts in Additive Manufacturing: when and how?hashtag#Composites benefit from a century of research into the production of components with subtractive techniques. However, when combined with AM, a couple of points need to be considered. Michele Tonizzo from moi composites helped us figure out which ones.✔️ AM Shapers | Agile Space Industries on the use of Additive Manufacturing in in-space propulsion systemsApart from electric hashtag#propulsion systems used for commercial communications satellites, most of the rocket engines in service today are chemical rockets. This type of propulsion system presents several challenges that need to be prioritized to deliver high value for the in-space propulsion market. In its list of priorities, Agile Space Industries discusses the challenges where hashtag#AdditiveManufacturing plays a pivotal role. (Benjamin Graybill & Dustin Crouse)✔️ Interview of the Month with Robert Pohorenec | How 7 decades of expertise in electron beam technology have helped position JEOL USA in the AM marketEvents ✔️ Greg Morris, the AMUG (Additive Manufacturing Users Group) “Innovations Award Winner” on his journey, the adoption of AM across industries and the future of Zeda ✔️ Additive Manufacturing for Aerospace, Defence & Space conference (by Defence iQ)hashtag#additivemanufacturing hashtag#materials hashtag#space hashtag#postprocessing hashtag#business hashtag#desktop hashtag#3dprintingACCESS The Digital Mag Here 👉 https://lnkd.in/edMvcQqH



…see more",Video,17,0,3 reposts,None
3Dadept,2024-04-10,"🗣️It’s OFFICIAL! 🚨You asked for it and we made it happen!!The next hashtag#AdditiveTalks session will discuss the pragmatic use of hashtag#additivemanufacturing across the hashtag#digital hashtag#supplychain. While exact estimates are hard to determine, market analysts agree with the fact that spare parts manufacturing is a multi-billion-dollar industry – given the fact that it spans different vertical industries, some of them being crucial to the growth of Additive Manufacturing.The conversation between Stefanie Brickwede and AJ Strandquist aims to go beyond the simple use of hashtag#additivemanufacturing to manufacture parts to discuss strategic decisions to make when establishing a spare parts business model.SECURE YOUR SPOT BELOW 👇MGA Mobility | MGA Medical - Mobility goes Additive e.V., Deutsche Bahn, Würth Group Würth Additive Grouphttps://lnkd.in/eTT8uT8v



…see more",Article,13,0,4 reposts,https://3dadept.com/additive-talks-how-to-ensure-a-pragmatic-use-of-am-across-the-digital-supply-chain/
3Dadept,2024-04-04,"📣Just over two months until hashtag#TCT3Sixty opens its doors! TCT 3Sixty is a must-attend event for designers, engineers and buyers looking to evaluate, adopt or optimise 3D printing and additive manufacturing within their business.As proud partners of TCT 3Sixty, we'd like to invite you to join us there...  🌟 Meet 200 exhibitors showcasing the latest developments in AM and 3D printing. Discover machines, materials, software and more.🌟 Find solutions to your current challenges with live product demonstrations.🌟 Learn from a world-class conference programme: 3 conference stages packed full of CPD-accredited innovation and intelligence🌟 Connect and network with peers and colleagues from across the industry. Start Networking Today - Download the event app. Register now for free 👉 bit.ly/3U1Q6Aw hashtag#TCT3Sixty hashtag#additivemanufacturing hashtag#3DPrinting The TCT Group @rapidnews



…see more",Image,3,0,0,None
3Dadept,2024-03-28,"We can feel the willingness of hashtag#additivemanufacturing companies that want to explore energy management initiatives, to do better to deliver a product that can legitimately be qualified as sustainable. We see the efforts of organizations like Additive Manufacturer Green Trade Association (AMGTA) that should not be overlooked and in the midst of these efforts, we see a strong reliance on hashtag#lifecycleanalysis/life cycle assessments. But, is it enough - especially when we know that since the beginning, because of the hype, we we had started building the ""green"" credentials of AM?Read our answer below 👇 - with insights from Skuld LLC and Foresight Managementhttps://lnkd.in/euDz2hC8 hashtag#sustainability hashtag#technology hashtag#LCA



…see more",Unknown,4,0,2 reposts,None
3Dadept,2024-04-05,"“As we introduce our hashtag#SHMeat and hashtag#SHFish blends to the U.S. market, we stand at the cusp of a new era in food technology. Our advanced hashtag#3dprinting technologies are not just a testament to innovation but also a commitment to hashtag#sustainability and hashtag#health. These products represent our dedication to providing consumers with food options that are not only delicious but also responsible choices for our planet. We believe that our entry into the U.S. market is a significant step towards a future where the food we eat contributes to a healthier society and a more sustainable world,” Arik Kaufman, CEO of Steakholder Foods said.hashtag#3dfoodprinting hashtag#environmenthttps://lnkd.in/edP_P7p5



…see more",Article,8,0,2 reposts,https://3dadept.com/steakholder-foods-introduces-shmeat-and-shfish-blends-with-advanced-3d-food-printing/
3Dadept,2024-04-10,"Belgian hashtag#3dprinting giant Materialise adds three new hashtag#materials to its additive manufacturing portfolio designed for hashtag#applications in serial hashtag#production and hashtag#prototyping with hashtag#MultiJetFusion and FDM. Read more about their main specifications below 👇hashtag#additivemanufacturing https://lnkd.in/e_DSHudS



…see more",Article,2,0,0,https://3dadept.com/materialise-expands-its-am-portfolio-with-3-3d-printing-materials/
3Dadept,2024-04-04,"As writers, we are often taught to always have a notebook on hand to write ideas and further explore them when time allows. Instead of a notebook, software company Authentise has developed a tool that delivers powerful digital thread capabilities to R&D and industrial engineering teams. In a 15mn-conversation with Andre Wegner, Kety Sindze has been able to grab its main benefits 👇.  hashtag#AuthentiseThreads hashtag#additivemanufacturing hashtag#software hashtag#engineering https://lnkd.in/eQhPHtuF



…see more",Article,4,0,1 repost,https://3dadept.com/turning-ideas-into-3d-printed-parts-faster-a-short-conversation-with-authentises-andre-wegner/
3Dadept,2024-03-28,"Traditionally, molders and mold makers faced limitations in creating optimal internal structures for molds due to the constraints of traditional manufacturing methods. This solution aims to support the adoption of hashtag#additivemanufacturing in the hashtag#tooling and hashtag#molding industries and marks a significant milestone in additive manufacturing, tooling, and molding industries, empowering molders and mold makers with unprecedented capabilities with hashtag#metal hashtag#3dprinting.Mentions: Xact Metal - Juan Mario Gomez - Kevin Rochfordhttps://lnkd.in/e-bFui5z



…see more",Article,14,0,1 repost,https://3dadept.com/xact-metal-partners-with-uddeholm-to-supply-corrax-tool-steel-for-additive-manufacturing/
3Dadept,2024-03-21,"Marcel Ahlbrand-Duczek, Head of Advanced Development Chassis Components at ZF Group, explains: “We need to give the power to the people to understand cost and manufacturability of their parts without consulting experts and wasting their time, and this is what 3D Spark is helping us to do.”hashtag#additivemanufacturing hashtag#cost hashtag#automotive https://lnkd.in/eUZgruP5



…see more",Article,11,0,2 reposts,https://3dadept.com/automotive-supplier-zf-bets-on-3d-spark-to-fabricate-3d-printed-parts/
3Dadept,2024-04-04,"The application of hashtag#3dprinting in the hashtag#packaging industry is still not very well known. BARALAN plans to spread it with a hashtag#massproduction concept: hashtag#GP3DPrint - Developed in collaboration with Stratasys & ICA GroupMention: Maurizio Ficcadentihttps://lnkd.in/eERhP8hr



…see more",Article,9,0,1 repost,https://3dadept.com/3d-printing-packaging-baralan-unveils-3d-decoration-for-cosmetic-packaging/
3Dadept,2024-04-04,"Building upon the growing demand for hashtag#ceramic hashtag#3dprinting at an industrial scale across industries, with the Ceramic 3D Factory, Lithoz ambitions to gather its technology and contract manufacturers all over the world in one global network for interconnected hashtag#serialproduction.hashtag#additivemanufacturing ceramitec Almatishttps://lnkd.in/eNcPdzE7



…see more",Article,22,0,1 repost,https://3dadept.com/lithoz-introduces-ceramic-3d-factory-and-ceracontrol-software-for-serial-production/
3Dadept,2024-03-11,"Last week, we shared a dossier that highlights the importance of implementing an ESG strategy taking into account the legislation that applies to your specific situation. While each company’s hashtag#sustainability journey is unique and may vary depending on its location(s), hashtag#valuechain, hashtag#investors, or partners, there are a couple of pain points that all AM companies can relate to. Have a look below at areas of focus in the application of hashtag#ESG by hashtag#additivemanufacturing companies. Read the full article here and discover the efforts of hashtag#additivemanufacturing companies that have already taken the leap on hashtag#ESG 👉🏽 https://lnkd.in/eYq9qGWzMentions: CASTOR, Siemens Digital Industries Software, Simon Schlagintweit, TÜV SÜD, Prusa Research, Vladimír Víšek



…see more",Unknown,1,0,2 reposts,None
3Dadept,2024-03-11,"hashtag#ESG is both simple and complex. To avoid drowning in the sea of information the Internet can offer, we sat down with three lawyers from Squire Patton Boggs: Dr. Dr. Andreas Fillmann, Wolfgang A. Maschek and Valerio Giovannini. Together, they helped us answer these 4 important questions 👇 that provide a path for hashtag#additivemanufacturing companies to take the leap on this journey.Access the FULL article 👉 https://lnkd.in/eGGv5hDd hashtag#sustainability hashtag#governance hashtag#social hashtag#DEI hashtag#environment



…see more",Unknown,9,0,4 reposts,None
