Index,Company Name,URL,Followers
24,Materialise,https://www.linkedin.com/company/4463/,"61,645 followers"
25,Jabil,https://www.linkedin.com/company/4852/,"439,815 followers"
26,Forbes,https://www.linkedin.com/company/5597/,"17,965,007 followers"
27,Ferrari,https://www.linkedin.com/company/7050/,"1,999,763 followers"
28,Meta,https://www.linkedin.com/company/10667/,"10,315,517 followers"
29,GKN Aerospace,https://www.linkedin.com/company/10967/,"261,190 followers"
32,TWI,https://www.linkedin.com/company/14139/,"62,963 followers"
33,Tesla,https://www.linkedin.com/company/15564/,"11,951,902 followers"
34,Renishaw,https://www.linkedin.com/company/17990/,"77,145 followers"
35,Etteplan,https://www.linkedin.com/company/27647/,"34,459 followers"
36,Höganäs AB,https://www.linkedin.com/company/28210/,"21,102 followers"
37,SpaceX,https://www.linkedin.com/company/30846/,"3,164,681 followers"
38,Boston Dynamics,https://www.linkedin.com/company/45918/,"492,731 followers"
39,MAPEI USA,https://www.linkedin.com/company/46928/,"32,730 followers"
40,Ansys Materials,https://www.linkedin.com/company/68735/,"10,889 followers"
41,KraussMaffei,https://www.linkedin.com/company/91732/,"50,733 followers"
42,"GE Additive, Sweden",https://www.linkedin.com/company/99111/,"11,476 followers"
43,ExOne,https://www.linkedin.com/company/107707/,"13,578 followers"
44,MPP,https://www.linkedin.com/company/131671/,"4,275 followers"
45,ARRK Europe Limited,https://www.linkedin.com/company/139007/,"9,996 followers"
46,3D Systems Latin America,https://www.linkedin.com/company/155226/,"5,130 followers"
47,3D Systems Corporation,https://www.linkedin.com/company/162213/,"105,368 followers"
49,The Economist,https://www.linkedin.com/company/166368/,"12,980,244 followers"
50,FIT Additive Manufacturing Group,https://www.linkedin.com/company/212180/,"7,508 followers"
51,BIG - Bjarke Ingels Group,https://www.linkedin.com/company/212853/,"481,841 followers"
52,ITP Aero,https://www.linkedin.com/company/222282/,"68,398 followers"
53,Quickparts,https://www.linkedin.com/company/274545/,"4,171 followers"
54,Grenzebach Group,https://www.linkedin.com/company/279353/,"11,828 followers"
55,Protolabs,https://www.linkedin.com/company/297505/,"43,732 followers"
56,Protolabs - Europe,https://www.linkedin.com/company/318028/,"11,625 followers"
57,"Rapid Mold Solutions, Inc.",https://www.linkedin.com/company/334003/,"1,156 followers"
58,EOS,https://www.linkedin.com/company/343498/,"83,349 followers"
59,Fives,https://www.linkedin.com/company/360308/,"86,832 followers"
60,FLOW-3D,https://www.linkedin.com/company/381191/,"17,835 followers"
61,Stratasys,https://www.linkedin.com/company/415728/,"124,088 followers"
62,DWFritz Automation,https://www.linkedin.com/company/464385/,"8,141 followers"
63,NIKON METROLOGY,https://www.linkedin.com/company/711482/,"33,758 followers"
64,5N Plus Inc.,https://www.linkedin.com/company/732165/,"3,765 followers"
65,RPWORLD,https://www.linkedin.com/company/739450/,"3,549 followers"
66,"MADFINGER Games, a.s.",https://www.linkedin.com/company/802910/,"7,207 followers"
67,Renishaw UK & Ireland,https://www.linkedin.com/company/1069061/,"4,495 followers"
68,"Proto3000 | Design, Additive Manufacturing, and Metrology",https://www.linkedin.com/company/1084772/,"5,610 followers"
69,WESSLING,https://www.linkedin.com/company/1107577/,"4,801 followers"
70,GrabCAD,https://www.linkedin.com/company/1114814/,"11,375 followers"
71,MIT Technology Review,https://www.linkedin.com/company/1145902/,"1,378,093 followers"
72,"Tecomet, Inc",https://www.linkedin.com/company/1153096/,"13,442 followers"
73,3T Additive Manufacturing Ltd,https://www.linkedin.com/company/1236284/,"10,858 followers"
74,Messer SE & Co. KGaA,https://www.linkedin.com/company/1398122/,"37,582 followers"
75,voxeljet AG,https://www.linkedin.com/company/1403879/,"8,313 followers"
76,pro-beam Group,https://www.linkedin.com/company/1426148/,"1,885 followers"
77,Ensinger GmbH,https://www.linkedin.com/company/1431999/,"7,042 followers"
78,"Parts Life, Inc.",https://www.linkedin.com/company/1511672/,"2,447 followers"
79,Uddeholm,https://www.linkedin.com/company/1534844/,"10,464 followers"
80,Airtech Advanced Materials Group,https://www.linkedin.com/company/1566768/,"5,804 followers"
81,Google DeepMind,https://www.linkedin.com/company/1594050/,"946,885 followers"
82,Plastics Color,https://www.linkedin.com/company/1675982/,"1,420 followers"
83,Precitec - Laser Material Processing,https://www.linkedin.com/company/1698206/,"9,899 followers"
84,AMUG (Additive Manufacturing Users Group),https://www.linkedin.com/company/2182815/,"13,351 followers"
85,ETEC,https://www.linkedin.com/company/2306104/,"13,097 followers"
86,Manufacturing Technologies Association (MTA),https://www.linkedin.com/company/2315221/,"5,883 followers"
87,Amazon Web Services (AWS),https://www.linkedin.com/company/2382910/,"9,132,176 followers"
88,Lincotek Medical,https://www.linkedin.com/company/2396923/,"5,858 followers"
89,MicroTek Finishing,https://www.linkedin.com/company/2399113/,375 followers
90,"Advanced MS EXCEL, Power Query, Power BI skills for Business Intelligence",https://www.linkedin.com/company/2463855/,"163,050 followers"
91,rapid prototype and manufacturing,https://www.linkedin.com/company/2464741/,"1,882 followers"
92,"Creabis GmbH, additive manufacturing services",https://www.linkedin.com/company/2475851/,399 followers
93,United Grinding Group,https://www.linkedin.com/company/2480540/,"13,128 followers"
94,3D Printing,https://www.linkedin.com/company/2525967/,"3,183 followers"
95,EDRMedeso,https://www.linkedin.com/company/2539867/,"7,024 followers"
96,3D Printing Network,https://www.linkedin.com/company/2652267/,"1,838 followers"
97,3D Printing Industry,https://www.linkedin.com/company/2675684/,"27,709 followers"
98,KW Special Projects Ltd,https://www.linkedin.com/company/2713095/,"4,595 followers"
99,Inovus Medical,https://www.linkedin.com/company/2798371/,"8,404 followers"
100,Additive Industries,https://www.linkedin.com/company/2835548/,"14,264 followers"
101,DELO Industrial Adhesives,https://www.linkedin.com/company/2978885/,"8,597 followers"
102,Additive Manufacturing Research,https://www.linkedin.com/company/3016246/,"1,995 followers"
103,3DPX Additive Manufacturing,https://www.linkedin.com/company/3119915/,"1,357 followers"
104,Real Python,https://www.linkedin.com/company/3130543/,"205,146 followers"
105,WASP,https://www.linkedin.com/company/3143399/,"11,857 followers"
106,High Value Manufacturing Catapult,https://www.linkedin.com/company/3236848/,"16,656 followers"
107,Fictiv,https://www.linkedin.com/company/3242677/,"20,850 followers"
108,Fabbaloo,https://www.linkedin.com/company/3248812/,"4,128 followers"
109,Hybrid Manufacturing Technologies,https://www.linkedin.com/company/3307969/,"1,957 followers"
110,Spring s.r.l.,https://www.linkedin.com/company/3347876/,"1,992 followers"
111,CyBe Construction,https://www.linkedin.com/company/3476340/,"8,440 followers"
112,RPDK,https://www.linkedin.com/company/3532052/,"2,305 followers"
113,3D Printing Channel,https://www.linkedin.com/company/3545347/,"5,617 followers"
114,Analytics Vidhya,https://www.linkedin.com/company/3632032/,"181,872 followers"
115,Google Cloud,https://www.linkedin.com/company/3648281/,"2,256,471 followers"
116,3DPrint.com,https://www.linkedin.com/company/3748374/,"28,462 followers"
117,Polymaker,https://www.linkedin.com/company/3771406/,"2,704 followers"
118,Icon,https://www.linkedin.com/company/3796739/,"54,568 followers"
119,Porsche AG,https://www.linkedin.com/company/3823740/,"1,374,930 followers"
120,Nikon SLM Solutions,https://www.linkedin.com/company/3847649/,"48,810 followers"
121,Flashforge 3D Printer®,https://www.linkedin.com/company/3883819/,"5,227 followers"
122,Konradin Mediengruppe,https://www.linkedin.com/company/3936786/,942 followers
123,The 3D Printing Association,https://www.linkedin.com/company/4974030/,"1,168 followers"
124,3Dnatives,https://www.linkedin.com/company/4987104/,"23,591 followers"
125,THINK Corp Comms | IM GROUP,https://www.linkedin.com/company/5027579/,"4,354 followers"
126,"Additive Manufacturing, LLC",https://www.linkedin.com/company/5156697/,"1,938 followers"
127,CNC Robotics Ltd,https://www.linkedin.com/company/5190707/,"9,215 followers"
128,Howco Group,https://www.linkedin.com/company/5241651/,"8,777 followers"
129,FKM Additive Manufacturing,https://www.linkedin.com/company/5290413/,"1,323 followers"
130,BASF Forward AM,https://www.linkedin.com/company/5300975/,"10,042 followers"
131,Additive-X Ltd,https://www.linkedin.com/company/5305038/,"3,310 followers"
132,Additive Manufacturing Technologies Ltd. (AMTech),https://www.linkedin.com/company/5358140/,588 followers
133,Mercedes-Benz AG,https://www.linkedin.com/company/5383634/,"1,588,804 followers"
134,TRUMPF,https://www.linkedin.com/company/6360273/,"161,107 followers"
135,All3DP,https://www.linkedin.com/company/6458530/,"8,447 followers"
136,Porsche Deutschland GmbH,https://www.linkedin.com/company/6722166/,"58,413 followers"
137,Matsuura Machinery Ltd,https://www.linkedin.com/company/7125877/,"16,695 followers"
138,Hollywood 3D Printing,https://www.linkedin.com/company/7587055/,"1,349 followers"
139,Velo3D,https://www.linkedin.com/company/7973813/,"43,276 followers"
140,IPG Laser GmbH & CO. KG,https://www.linkedin.com/company/8292923/,"13,767 followers"
141,Bosch Engineering GmbH,https://www.linkedin.com/company/8919924/,"27,035 followers"
142,Graphite Additive Manufacturing Limited,https://www.linkedin.com/company/8968161/,"1,584 followers"
143,"GE Additive, Lichtenfels",https://www.linkedin.com/company/9197168/,"4,144 followers"
144,MIZAR Additive Manufacturing,https://www.linkedin.com/company/9197231/,"2,439 followers"
145,SINTRATEC,https://www.linkedin.com/company/9206239/,"5,859 followers"
146,Renishaw Additive Manufacturing,https://www.linkedin.com/company/9254780/,"24,114 followers"
147,APWORKS Additive Manufacturing,https://www.linkedin.com/company/9271544/,"5,914 followers"
148,Open Data Science Conference (ODSC),https://www.linkedin.com/company/9358547/,"136,575 followers"
149,Axial3D,https://www.linkedin.com/company/9373880/,"6,812 followers"
150,Massivit 3D Printing Technologies Ltd.,https://www.linkedin.com/company/9383658/,"14,614 followers"
151,AMT PostPro,https://www.linkedin.com/company/9393813/,"17,354 followers"
152,MX3D,https://www.linkedin.com/company/9486420/,"14,423 followers"
153,Mechanical 3D Modelling,https://www.linkedin.com/company/9504437/,"6,719 followers"
154,Alexander Daniels Global,https://www.linkedin.com/company/10000090/,"9,685 followers"
155,Belotti SpA,https://www.linkedin.com/company/10010465/,"5,992 followers"
156,National Centre for Additive Manufacturing (NCAM),https://www.linkedin.com/company/10016366/,"5,082 followers"
157,Additive Manufacturing Media,https://www.linkedin.com/company/10031807/,"29,114 followers"
158,Joris Laarman Lab,https://www.linkedin.com/company/10072514/,"1,359 followers"
159,"Volume Graphics, part of Hexagon",https://www.linkedin.com/company/10078234/,"4,175 followers"
160,Additive Marking GmbH,https://www.linkedin.com/company/10140143/,"1,519 followers"
161,"XtreeE, the large-scale 3D",https://www.linkedin.com/company/10190056/,"10,704 followers"
162,AnyShape - Additive Manufacturing Innovation,https://www.linkedin.com/company/10200498/,"1,699 followers"
163,Caracol AM,https://www.linkedin.com/company/10318922/,"8,994 followers"
164,Apis Cor,https://www.linkedin.com/company/10320739/,"11,343 followers"
165,Desktop Metal,https://www.linkedin.com/company/10383111/,"41,537 followers"
166,VoxelMatters,https://www.linkedin.com/company/10419198/,"8,715 followers"
167,AMFG,https://www.linkedin.com/company/10442679/,"22,774 followers"
168,Manufacturing News,https://www.linkedin.com/company/10513702/,"4,166 followers"
169,Data Science Academy,https://www.linkedin.com/company/10514544/,"497,601 followers"
170,VDMA Additive Manufacturing,https://www.linkedin.com/company/10541814/,"4,384 followers"
171,Machine Learning Mastery,https://www.linkedin.com/company/10685546/,"284,382 followers"
172,3DGBIRE,https://www.linkedin.com/company/10707181/,"4,866 followers"
173,ACAM Aachen Center for Additive Manufacturing GmbH,https://www.linkedin.com/company/10792116/,"2,432 followers"
174,Farsoon Technologies,https://www.linkedin.com/company/10840437/,"3,551 followers"
175,SuperDataScience,https://www.linkedin.com/company/10849637/,"93,259 followers"
176,CHIRON Group SE,https://www.linkedin.com/company/10874631/,"14,337 followers"
177,AddUp,https://www.linkedin.com/company/10887890/,"14,805 followers"
178,UBS Asset Management,https://www.linkedin.com/company/10996666/,"177,470 followers"
179,LISI AEROSPACE ADDITIVE MANUFACTURING,https://www.linkedin.com/company/11016694/,"5,411 followers"
180,DMG MORI,https://www.linkedin.com/company/11099415/,"148,060 followers"
181,Alloyed,https://www.linkedin.com/company/11113749/,"6,997 followers"
182,Metal Additive Manufacturing magazine,https://www.linkedin.com/company/11114089/,"33,343 followers"
183,OpenAI,https://www.linkedin.com/company/11130470/,"4,966,013 followers"
184,Bowman 3D,https://www.linkedin.com/company/11135123/,"1,265 followers"
185,TRUMPF ADDITIVE MANUFACTURING ITALIA S.R.L.,https://www.linkedin.com/company/11143204/,"1,679 followers"
186,3D ADEPT (3DA),https://www.linkedin.com/company/11150732/,"4,918 followers"
187,Tsunami Medical,https://www.linkedin.com/company/11208739/,"2,056 followers"
188,WMG Business,https://www.linkedin.com/company/11216009/,"6,473 followers"
189,RENA Additive Manufacturing,https://www.linkedin.com/company/11323882/,"1,232 followers"
190,Additive Manufacturing Solutions Ltd.,https://www.linkedin.com/company/11327100/,"1,911 followers"
191,Oqton,https://www.linkedin.com/company/11337074/,"8,952 followers"
192,Multi-Scale Additive Manufacturing Laboratory,https://www.linkedin.com/company/11340926/,"2,556 followers"
193,Additive Manufacturing,https://www.linkedin.com/company/11414497/,"4,169 followers"
194,ARBURG GmbH + Co KG,https://www.linkedin.com/company/11452391/,"36,351 followers"
195,Photocentric,https://www.linkedin.com/company/11453368/,"5,636 followers"
196,HP 3D Printing,https://www.linkedin.com/company/11495807/,"47,196 followers"
197,SAE Industry Technologies Consortia,https://www.linkedin.com/company/11511513/,"3,109 followers"
198,KLS Martin Group - IPS,https://www.linkedin.com/company/11740441/,"2,869 followers"
199,Mark3D Deutschland,https://www.linkedin.com/company/11745419/,288 followers
200,GF Machining Solutions,https://www.linkedin.com/company/11805014/,"55,992 followers"
201,Datamole,https://www.linkedin.com/company/11830431/,"1,488 followers"
202,eSUN 3D Printing,https://www.linkedin.com/company/12176553/,"1,915 followers"
203,WAAM3D,https://www.linkedin.com/company/12574888/,"3,918 followers"
204,Joris Laarman Studio,https://www.linkedin.com/company/12590482/,838 followers
