Author Name,Author ID,Date,Post Text,Replies,Likes,Reshares,Views
Dante,@joorhee,2022-12-25T00:38:35.000Z,We can now  3D print  as much wood as we want without cutting a single tree  https://,0,0,0,3
Zelda.Torp34nuYzl,@torp34nuyzl,2022-12-25T04:28:47.000Z,WINSINN GT2 Pulley 16 Teeth 3 175mm bore 6mm Width 16T Timing Belt Pulley Wheel Aluminum for  3D Printer  (Pack of 5Pcs) LQHCIY2 https:// tag=alfredoerohan-20 …,0,0,0,0
Barely Bruised Books,@BarelyBook,2022-12-25T06:35:49.000Z,Please show me where  @PierrePoilievre  addressed a brainwashing experiment involving the end of humanity via CRISPR injections and  3D printed  magnetic liquids from the policy arm responsible for the Biodigital Convergence on the Canadian government website. Thank you. ,0,2,0,207
Dork Machinations,@DorkMachination,2022-12-25T02:31:37.000Z,"Merry Christmas!

Father Flayer wishes you happy holidays! Were you naughty or nice this year?

This mini was designed over at  @EldritchFoundry , downloaded,  3D-printed  and painted last year.

Not my best work and the photos kinda suck but fun nonetheless. ",0,20,3,875
VersedPrints,@Rainbowayy,2022-12-25T14:44:07.000Z,"Need 1-100 units of an item? Try our Prototype Printing option & get  3D printing  services perfect for prototyping & quick iterations. Plus, our prices are often better than in-house options- get a free quote to get started!  #prototype #3Dprinting #services",0,1,0,19
X3xDX,@X3xDXHOT,2022-12-25T10:59:27.000Z,1 Lola Bunny Looney Tunes  3d print  model NSFW . You can buy it here  (3$) https:// Archive size - 21 mb. Digital .STL file 3d model/ Ready for  3d print .  #lolabunny #furry #sexyfanart,0,4,1,659
Tyshawn.Eichmann13NfczV,@eichmann13nfczv,2022-12-25T12:27:44.000Z,"10 Pieces Stepper Motor Driver Module with Heat Sink Compatible with Stepstick Stepper A4988  3D Printer  Reprap, CNC Machine o SBUYBSV https:// tag=jaedenakeem01-20 …",0,0,0,2
Mixs·͜·TANSUNIGIN,@Mixxxs_,2022-12-25T10:45:48.000Z,"Wireless ZA13-B Baseplate Files [ 3D Printing  Files Only] | G305-Based（ @Etsy  のCryoModsより）
これ買ってくれた人にAmazonギフト2000円渡す
頼む〜",0,0,0,314
loveatthirdsight bicci brand influencer,@love3rdsight,2022-12-25T01:26:20.000Z,My husband's childhood friend who turned out to be a hardcore weeb (the kind who owns a  3d printer ) ,4,6,0,644
seven/alex cherik era,@GU1LTTR1PP1NG,2022-12-25T05:09:07.000Z,Yuh boi got a  3d Printer  for Christmas. A flashforge adventurer 3 pro.,0,0,0,84
3D Printing Magazine,@3DPrinting_Mag,2022-12-25T01:52:11.000Z,Top 5: Markforged’s Part Production For Own Use via @3Dnatives_en,0,1,0,122
3D ARCH GRAPHIC,@3d_archgraphic,2022-12-25T09:02:04.000Z,3D Printed  Dubai Classic Car Plate Number Keychain #3dprinting #carplatekeychain  by ARCH GRAPHIC  3D Printing  in UAE https:// #3dprintinginuae #3dprint #uae #dubai #abudhabi,0,1,0,75
Caleb,@WingsOfBaal,2022-12-25T04:36:22.000Z,The day I bite into a steak and someone tells me it’s  3D printed  plants is the day I air the whole bitch out,0,1,0,71
3D Open Hardware,@3DOpenHardware,2022-12-25T00:50:46.000Z,Wematter Onboards Two New Resellers In Czech And The UK To Expand Gravity  3D Printer  Network  https://,0,0,0,16
Not A Games Dev Ollie,@Reksaurian,2022-12-24T22:18:21.000Z,Check out Pearl’s Ragdolls's video!  #TikTok https:// @Loserfruit,0,0,0,55
digiuseppe.daniele,@space_man83,2022-12-25T08:41:54.000Z,A  3D printer  with polymer components but fusible minerals would bring a new inventiveness to creations of objects and accessories.,0,0,0,4
bubbleistrouble,@bubbleistrouble,2022-12-24T22:11:01.000Z,"3D printed  cap makes lots of, fleeting bubbles",0,0,0,0
USA TODAY Video,@usatodayvideo,2022-12-25T04:00:31.000Z,3D printing  drones could build your home like a team of worker bees!,0,0,0,10156
Family Transformed,@familytransblog,2022-12-24T23:04:46.000Z,WIN - FREE Saturn 2 8K Resin  3D Printer  Bundle from Mach5ive (Limited Time) - $850 Value  #mach5ive #3dprinting #resin3dprinting #miniatures #dnd #warhammer https:// aturn-2-8k-resin-3d-printer-bundle-giveaway-from-mach5ive-limited-time/joz8dyk …,0,0,0,18
Neil Bodilly,@NeilBodilly,2022-12-25T06:37:32.000Z,3D print  as a special gift on Mother's Day -  http:// http://,0,0,0,4
